region,mean_p,cmro2,cmrglu,mean_i
SalVentAttn_FrOperIns_12 R,5.36350146121775e-12,5383.0537,6873.0957,9.728727246752801e-10
SalVentAttn_FrOperIns_2 L,3.32411370527289e-13,4202.1206,4796.2827,1.3043554257678e-10
SalVentAttn_FrOperIns_2 R,2.39676221720689e-12,4677.4023,5368.609,4.2918180959007303e-10
SalVentAttn_FrOperIns_3 L,1.6862502373341098e-12,4929.7563,5645.2744,4.74059427779519e-10
SalVentAttn_FrOperIns_3 R,5.06704566623018e-12,5209.9434,6718.1646,8.64562994671188e-10
SalVentAttn_FrOperIns_4 L,2.8618519514602297e-12,4884.892,6436.2075,4.3520659417097004e-10
SalVentAttn_FrOperIns_4 R,1.4417188155366499e-12,4706.904,5420.39,5.60673383436659e-10
SalVentAttn_FrOperIns_5 L,1.09733266522871e-12,4731.0693,5483.2476,4.59924302229634e-10
SalVentAttn_FrOperIns_5 R,4.5512086235930695e-12,5181.952,6129.966,6.731882750083801e-10
SalVentAttn_FrOperIns_6 L,2.09509755064907e-12,5071.641,6309.9077,7.39134440535366e-10
SalVentAttn_FrOperIns_6 R,1.92994495200434e-12,5110.456,6601.117,5.91164070075689e-10
SalVentAttn_FrOperIns_7 L,1.18368309636051e-12,5192.882,5942.775,3.48518369142129e-10
SalVentAttn_FrOperIns_7 R,7.78689331621127e-13,4919.2383,5979.787,3.03834636664385e-10
SalVentAttn_FrOperIns_8 L,1.2049220063896998e-12,4933.367,5962.975,4.1844700747323403e-10
SalVentAttn_FrOperIns_8 R,2.5433385165402097e-12,5380.8906,6771.487,5.87101591212072e-10
SalVentAttn_FrOperIns_9 L,4.19123039117125e-12,5457.0464,6833.8037,8.99566177580659e-10
SalVentAttn_FrOperIns_9 R,4.46742258854377e-12,5384.3193,7085.521,7.25004708971543e-10
SalVentAttn_Med_1 L,1.9817972374967897e-12,4930.0684,6271.683,5.10309188813352e-10
SalVentAttn_Med_1 R,1.8297461454212497e-12,3055.9958,3652.296,4.15553757863905e-10
SalVentAttn_Med_10 L,2.85527597282064e-12,5634.6865,6765.6104,4.3278253236788203e-10
SalVentAttn_Med_10 R,1.06324915740901e-12,5320.634,6358.395,3.54159353042854e-10
SalVentAttn_Med_11 L,1.85103355234365e-12,5439.4297,7100.011,4.1036154468124003e-10
SalVentAttn_Med_11 R,3.80426091403064e-12,5236.0044,6880.7603,8.52592173802447e-10
SalVentAttn_Med_12 L,1.9761099189795898e-12,5219.349,6266.7417,3.46188612073176e-10
SalVentAttn_Med_12 R,1.12780099995851e-11,5369.569,6754.463,1.66558551996592e-09
SalVentAttn_Med_13 L,5.8874040403162394e-12,4839.173,6654.1943,8.72784874486596e-10
SalVentAttn_Med_13 R,6.735669144918e-12,4990.218,6634.28,1.04107365582197e-09
SalVentAttn_Med_14 L,1.3243260627823599e-11,5136.8486,6678.2417,1.6054557406718702e-09
SalVentAttn_Med_2 L,2.54413780431063e-12,5119.179,6297.372,8.15144434154225e-10
SalVentAttn_Med_2 R,1.44315659204451e-12,5075.617,6485.922,5.21082730822113e-10
SalVentAttn_Med_3 L,8.85693492031605e-13,5172.136,5909.6113,3.37587834861568e-10
SalVentAttn_Med_3 R,1.56416740966293e-12,4963.577,6051.5493,5.78594829120458e-10
SalVentAttn_Med_4 L,3.97361699546029e-13,5088.3213,6215.3066,1.76677318577178e-10
SalVentAttn_Med_4 R,3.14204809135994e-13,5065.0586,5993.8984,1.47716162406537e-10
SalVentAttn_Med_5 L,7.98198817232132e-13,4952.67,6142.316,3.13219292991194e-10
SalVentAttn_Med_5 R,6.16394167034214e-13,5194.126,6478.564,2.4625175237280103e-10
SalVentAttn_Med_6 L,5.60236796853423e-13,4734.526,5773.0537,2.1660406537219001e-10
SalVentAttn_Med_6 R,1.40451751192709e-12,5260.785,6721.9414,4.98471251292572e-10
SalVentAttn_Med_7 L,2.04097876596856e-12,5129.7656,6390.2285,7.20154191204182e-10
SalVentAttn_Med_7 R,7.97860407134505e-13,5218.3833,6301.058,2.72141816283213e-10
SalVentAttn_Med_8 L,1.0144243188677199e-12,5025.1685,6247.504,3.0854296912496e-10
SalVentAttn_Med_8 R,6.81404778128813e-13,4874.286,5978.099,2.70747570165118e-10
SalVentAttn_Med_9 L,3.8386215429324597e-13,5010.988,6203.5044,1.70197019759885e-10
SalVentAttn_Med_9 R,1.37950708851279e-12,5430.355,6409.4165,3.91214102225176e-10
SalVentAttn_PFCl_1 L,1.5644538451755298e-11,5294.705,6976.3354,2.2344020785142e-09
SalVentAttn_PFCl_1 R,1.69714615788976e-11,5490.4414,7162.3984,2.6908427119386802e-09
SalVentAttn_PFCl_2 L,6.5335801087242095e-12,5288.2646,6783.488,8.785664180972561e-10
SalVentAttn_ParOper_1 L,1.11954919048442e-12,5178.938,6258.533,3.5834531240166003e-10
SalVentAttn_ParOper_2 L,9.21034787112408e-12,5195.734,6306.5967,1.36968297865857e-09
SalVentAttn_ParOper_3 L,7.243001362370239e-12,5328.8037,6390.6523,1.33425745141304e-09
SalVentAttn_ParOper_4 L,8.03867184148508e-12,5004.128,5910.8784,1.12708229961724e-09
SalVentAttn_ParOper_5 L,1.4331581427648899e-11,4930.669,6099.3276,1.8666517183443e-09
SalVentAttn_ParOper_6 L,8.785451820070209e-12,4906.1616,5941.5015,1.2325152909541401e-09
SalVentAttn_PrC_1 R,9.35255675166276e-12,5598.8896,7166.996,1.5743280203727302e-09
SalVentAttn_TempOccPar_1 R,4.70481894402113e-12,5324.393,6440.7383,9.21127672987895e-10
SalVentAttn_TempOccPar_10 R,5.04914944590148e-12,4884.741,6060.692,7.04012703347892e-10
SalVentAttn_TempOccPar_11 R,7.2711460628064695e-12,5075.1084,5981.1675,1.0164858212283902e-09
SalVentAttn_TempOccPar_12 R,1.1673365579493198e-11,4706.3867,5876.3643,1.3532156629871e-09
SalVentAttn_TempOccPar_2 R,4.8982069418024594e-12,5427.9536,6427.38,9.39091744275557e-10
SalVentAttn_TempOccPar_3 R,1.6922491271234499e-12,5256.047,6276.8315,4.48226659172627e-10
SalVentAttn_TempOccPar_4 R,3.41504848768634e-12,5143.638,6189.184,5.85693102605234e-10
SalVentAttn_TempOccPar_5 R,7.06342668550706e-12,5244.9287,6219.9917,1.17013680727197e-09
SalVentAttn_TempOccPar_6 R,1.2702381159533799e-12,5094.362,6179.675,3.95230871472031e-10
SalVentAttn_TempOccPar_7 R,4.9919463843736594e-12,5388.901,6361.9785,8.97417390923292e-10
SalVentAttn_TempOccPar_8 R,7.07995844305691e-12,5098.372,6289.1636,1.21132191136187e-09
SalVentAttn_TempOccPar_9 R,3.9849576035891095e-12,5131.7925,6273.6323,7.30404556982959e-10
SalVentAttn_TempOcc_1 L,4.4360525102227695e-12,5237.042,6313.6064,8.17167664035684e-10
SomMot_1 L,8.923120178398309e-12,4967.2603,5560.5103,1.78255355441954e-09
SomMot_1 R,8.424692710851349e-12,5109.636,5726.507,1.51636144926748e-09
