"region","mean_p_excl","sub11_p","excess","ratio","is_frontal"
"Cont_PFCl_2 R",1.04266413467885e-10,1.50127120875615e-10,4.586070740773e-11,1.43984161229307,TRUE
"Limbic_TempPole_5 R",1.41915559741057e-11,5.90644064607288e-11,4.48728504866231e-11,4.16194014021431,FALSE
"Default_PFC_23 L",2.33981027564361e-11,6.4791921159736e-11,4.13938184032998e-11,2.76911003572346,TRUE
"Limbic_TempPole_14 L",4.44782492871496e-12,4.57408253226211e-11,4.12930003939061e-11,10.2838636987082,FALSE
"Limbic_TempPole_12 L",1.01346041863571e-11,4.99477242674531e-11,3.9813120081096e-11,4.92843364664316,FALSE
"Default_Temp_5 L",2.5983242889694e-11,6.39327358979193e-11,3.79494930082253e-11,2.46053720735827,FALSE
"Default_PFC_17 L",2.6918751028183e-12,3.85683044444796e-11,3.58764293416613e-11,14.327672336692,TRUE
"SomMot_16 L",6.02987923128105e-12,4.11369154433667e-11,3.51070362120856e-11,6.82217899654802,FALSE
"Default_Temp_1 L",3.4023354218128e-11,6.89079626016948e-11,3.48846083835668e-11,2.02531361722648,FALSE
"Vis_15 L",5.30203670379661e-11,8.78160542974567e-11,3.47956872594906e-11,1.65627020715595,FALSE
"Default_PFCdPFCm_11 R",6.86594388813177e-12,4.12110827246962e-11,3.43451388365644e-11,6.00224577948157,TRUE
"Default_Temp_7 L",1.56268741749855e-11,4.949545839404e-11,3.38685842190545e-11,3.16732942492549,FALSE
"Cont_PFCl_12 L",7.84397446258141e-12,4.08924387021527e-11,3.30484642395713e-11,5.21322945366847,TRUE
"Default_PFC_19 L",1.34410674320899e-11,4.62455677924745e-11,3.28045003603846e-11,3.4406171999454,TRUE
"Limbic_TempPole_6 R",2.69931545105972e-11,5.97735588531802e-11,3.2780404342583e-11,2.21439694385159,FALSE
"Vis_1 R",1.08869553275119e-11,4.34829564879199e-11,3.2596001160408e-11,3.99404196855996,FALSE
"Default_PFCv_1 R",6.2622801876441e-12,3.87873630326323e-11,3.25250828449882e-11,6.19380830470703,TRUE
"SalVentAttn_FrOperIns_4 L",2.86185195146023e-12,3.37793017582204e-11,3.09174498067602e-11,11.803301614182,TRUE
"Default_PFCdPFCm_13 R",6.94589838487314e-12,3.75087976960489e-11,3.05628993111758e-11,5.4001362556262,TRUE
"Cont_PFCl_15 R",1.45479557408345e-11,4.41974587054607e-11,2.96495029646262e-11,3.03805287098882,TRUE
"SomMot_19 L",6.27503456145628e-12,3.56864890787033e-11,2.9411454517247e-11,5.68705856982904,FALSE
"Default_PFCdPFCm_9 R",2.28747977281599e-12,3.04432877327901e-11,2.81558079599741e-11,13.3086587669857,TRUE
"Limbic_OFC_1 R",4.77259270232976e-12,2.91908804710173e-11,2.44182877686875e-11,6.11635693462124,TRUE
"Limbic_TempPole_7 L",3.79043138650837e-12,2.81436042920405e-11,2.43531729055321e-11,7.42490799126838,FALSE
"SalVentAttn_FrOperIns_6 L",2.09509755064907e-12,2.62665162016355e-11,2.41714186509864e-11,12.5371327905462,TRUE
"Vis_13 L",1.00950055918304e-11,3.28621102973737e-11,2.27671047055433e-11,3.25528401133013,FALSE
"Vis_4 R",1.57221867866228e-11,3.78712342078538e-11,2.2149047421231e-11,2.40877650938967,FALSE
"Cont_PFCl_17 R",1.50139266451073e-11,3.71605416855869e-11,2.21466150404796e-11,2.47507148289529,TRUE
"Vis_12 L",4.41224760932225e-12,2.64569526642102e-11,2.2044705054888e-11,5.99625293202304,FALSE
"Default_Temp_9 L",8.83011824047041e-12,3.07253179051676e-11,2.18951996646972e-11,3.47960435731728,FALSE
"Default_PFC_28 L",1.62811609062052e-11,3.78339606413632e-11,2.1552799735158e-11,2.32378764999144,TRUE
"Default_PFC_1 L",1.02690827727771e-12,2.23704948260492e-11,2.13435865487715e-11,21.7843164000512,TRUE
"Vis_8 L",2.98290316908569e-11,5.03890881464095e-11,2.05600564555526e-11,1.68926328781416,FALSE
"Vis_3 R",1.57338205630078e-12,2.19475133349444e-11,2.03741312786436e-11,13.9492586985171,FALSE
"DorsAttn_PrCv_2 L",9.78439249337651e-12,2.96347330041096e-11,1.98503405107331e-11,3.02877598421881,FALSE
"Vis_12 R",1.87693826940476e-11,3.84626353356566e-11,1.9693252641609e-11,2.04922218075155,FALSE
"Cont_Par_7 R",8.11554358510528e-12,2.74516150996272e-11,1.93360715145219e-11,3.38259721135748,FALSE
"Default_PFC_25 L",1.01902424010605e-11,2.88815805816105e-11,1.869133818055e-11,2.83423881836264,TRUE
"Cont_PFCd_2 L",7.63512202751824e-12,2.61915850819809e-11,1.85564630544627e-11,3.43040818307581,TRUE
"SomMot_20 L",9.99581852400792e-12,2.8444607676804e-11,1.84487891527961e-11,2.84565066967611,FALSE
"SalVentAttn_FrOperIns_10 L",7.55255446693157e-12,2.54446630927167e-11,1.78921086257851e-11,3.3690141797884,TRUE
