region,cmro2,cmrglu
Cont_Par_1 R,5218.733,6701.134
Cont_Par_2 R,5044.588,6472.538
Cont_Par_3 R,5192.4116,6738.8765
Cont_Par_4 R,5577.856,7015.2285
Cont_Par_5 R,5382.554,7083.701
Cont_Par_6 R,5693.3286,7194.2026
Cont_Par_7 R,5571.564,7196.432
Cont_Par_8 R,5762.007,7179.601
Cont_Par_9 R,5598.813,7117.917
Cont_Temp_1 R,4892.357,6157.2397
Cont_Temp_2 R,4855.756,6163.077
Cont_PFCv_1 R,5123.3726,6450.252
Cont_PFCl_1 R,5107.298,6534.144
Cont_PFCl_2 R,4938.824,6320.2812
Cont_PFCl_3 R,4943.2554,6834.389
Cont_PFCl_4 R,5471.051,7225.1084
Cont_PFCl_5 R,5200.4233,6822.2905
Cont_PFCl_6 R,5312.5947,7132.2393
Cont_PFCl_7 R,5637.2896,7559.712
Cont_PFCl_8 R,5570.509,7499.4326
Cont_PFCl_9 R,5452.216,7365.546
Cont_PFCl_10 R,5459.763,7365.56
Cont_PFCl_11 R,5466.457,7321.769
Cont_PFCl_12 R,5436.7085,7336.689
Cont_PFCl_13 R,5441.012,7209.4087
Cont_PFCl_14 R,5602.6387,7370.0996
Cont_PFCl_15 R,5477.904,7411.373
Cont_PFCl_16 R,5530.444,7386.2305
Cont_PFCl_17 R,5356.2305,7246.3594
Cont_PFCl_18 R,5526.616,7465.9165
Cont_PFCl_19 R,5631.638,7552.4033
Cont_PFCl_20 R,5084.665,7065.698
Cont_PFCl_21 R,5408.306,7257.5454
Cont_PFCl_22 R,5305.9355,7223.423
Cont_PFCl_23 R,5238.1606,7042.244
Cont_PFCl_24 R,5255.0137,6909.1885
Cont_PFCl_25 R,5103.9463,6802.2324
Cont_pCun_1 R,5882.5117,7995.071
Cont_pCun_2 R,5645.537,7495.6333
Cont_Cing_1 R,2608.3022,3383.1028
Cont_Cing_2 R,2365.3826,3069.714
Cont_Cing_3 R,1857.9988,2258.0337
Cont_Cing_4 R,2368.4202,2911.5923
Cont_PFCmp_1 R,4942.5146,6399.0645
Cont_PFCmp_2 R,5131.709,6815.7197
Cont_PFCmp_3 R,5336.239,7090.134
Default_Par_1 R,5434.4204,6430.0225
Default_Par_2 R,5495.4663,6548.84
Default_Par_3 R,5181.4673,6441.8345
Default_Par_4 R,5275.6265,6460.2705
Default_Par_5 R,5402.115,6824.8
Default_Par_6 R,5164.4976,6421.031
Default_Par_7 R,5084.816,6739.24
Default_Par_8 R,5272.8857,6892.6772
Default_Temp_1 R,4272.5796,5048.003
Default_Temp_2 R,4571.526,5758.784
Default_Temp_3 R,4451.9194,5192.154
Default_Temp_4 R,4658.43,5719.232
Default_Temp_5 R,4863.614,6267.642
Default_Temp_6 R,4744.438,5656.2676
Default_Temp_7 R,5147.0786,6342.3203
Default_Temp_8 R,5052.4907,5905.0317
Default_Temp_9 R,5074.34,5930.496
Default_Temp_10 R,5210.4355,6419.2466
Default_Temp_11 R,5091.0347,6182.4985
Default_PFCv_1 R,5047.132,6083.2188
Default_PFCv_2 R,5138.256,7010.0083
Default_PFCv_3 R,5298.143,6834.7485
Default_PFCv_4 R,5149.5195,6749.039
Default_PFCv_5 R,5276.288,6886.282
Default_PFCv_6 R,5301.6587,7030.6284
Default_PFCdPFCm_1 R,4117.027,4890.766
Default_PFCdPFCm_2 R,5146.7407,6661.831
Default_PFCdPFCm_3 R,5012.2837,6484.522
Default_PFCdPFCm_4 R,4415.7534,5452.5474
Default_PFCdPFCm_5 R,5128.2285,6496.1943
Default_PFCdPFCm_6 R,5072.6445,6488.7974
Default_PFCdPFCm_7 R,4877.613,6129.574
Default_PFCdPFCm_8 R,5035.59,6596.1914
Default_PFCdPFCm_9 R,1943.3236,2281.3628
Default_PFCdPFCm_10 R,4952.3735,6418.934
Default_PFCdPFCm_11 R,5128.683,6625.922
Default_PFCdPFCm_12 R,4968.4165,6574.861
Default_PFCdPFCm_13 R,5372.3545,7146.082
Default_PFCdPFCm_14 R,4777.8574,6394.312
Default_PFCdPFCm_15 R,5187.155,6933.571
Default_PFCdPFCm_16 R,5402.5654,7121.0493
Default_PFCdPFCm_17 R,4832.4297,6568.856
Default_PFCdPFCm_18 R,5283.8843,7081.3447
Default_PFCdPFCm_19 R,4887.4336,6639.716
Default_pCunPCC_1 R,4570.793,5619.545
Default_pCunPCC_2 R,2946.75,3740.6287
Default_pCunPCC_3 R,5426.868,6837.708
Default_pCunPCC_4 R,5822.5903,7238.7646
Default_pCunPCC_5 R,5935.0654,7474.8867
Default_pCunPCC_6 R,5992.935,7728.8696
Default_pCunPCC_7 R,5611.4395,7044.1387
Default_pCunPCC_8 R,5627.8145,7203.7046
Default_pCunPCC_9 R,5466.4004,6916.3057
Default_pCunPCC_10 R,6130.615,7981.969
Default_pCunPCC_11 R,5608.8096,7122.752
Default_pCunPCC_12 R,5565.177,6967.8306
Default_pCunPCC_13 R,5786.0957,7056.2217
Default_pCunPCC_14 R,5750.7397,7305.5493
